TweetID,retweets_count
1184643,0.015
1199190,0.855
917372,3.42
731754,2.235
1400049,0.035
1351254,0.06
917812,0.425
45946,0.72
465480,3.605
1364403,4.12
1111065,0.005
1181730,2.8
699449,0.07
327293,0.975
697094,1.185
281997,2.155
1033751,1.545
460455,0.0
716351,7.86
608415,0.045
85259,0.96
676086,1.36
452616,1.22
1148559,1.12
1273056,1.33
916736,1.835
1087955,0.965
1264906,0.005
158775,2.325
1023871,0.005
917998,0.655
386392,10.95
192921,3.355
880904,0.75
620048,1.445
1274995,0.0
376526,1.775
41198,0.03
284434,0.025
1152853,1.18
1400321,0.07
453135,2.37
690391,0.19
206771,1.295
1268156,0.945
661987,0.245
1018667,0.0
414419,3.73
210016,2.285
528716,0.015
723949,0.015
292045,6.53
127035,0.015
75561,0.91
606468,43.365
905260,4.075
796354,0.71
1322660,0.82
1154063,1.645
601246,1.495
204821,0.04
729121,1.445
726573,0.035
784552,1.105
1398775,1.23
1278216,1.125
338932,0.01
449869,0.085
1306978,0.01
609713,1.365
164384,0.015
155800,0.035
373535,0.005
1349206,0.855
791652,1.36
768747,1.155
582732,4.84
457839,1.99
780318,1.585
1100429,1.07
486159,0.09
940874,0.9
1154255,0.045
129916,0.055
184998,2.435
361267,12.865
1124822,1.435
43163,2.92
1017849,1.815
860704,1.08
135222,1.32
1112983,0.0
675350,1.25
1084857,0.005
462144,1.29
315820,1.145
719607,0.06
272453,0.005
1348727,0.04
558701,0.005
85453,0.205
297972,0.025
906388,0.11
367684,34.72
864268,0.91
1024998,0.0
616404,0.94
1242615,1.115
722013,2.81
828386,1.235
851668,0.035
1328420,0.04
334111,0.935
153383,1426.945
586953,2.07
1151687,0.0
439737,0.04
991384,1.815
5414,0.005
561990,0.91
56140,0.015
108113,1.02
437410,2.95
505158,1.73
881807,1.215
1210882,1.07
149913,11.53
894916,1.11
161970,1.04
65105,0.005
1375627,0.0
507294,1.985
322453,0.1
611531,0.86
921651,1.335
1002168,0.02
484329,1.76
999042,1.695
935883,0.035
133746,0.01
1111383,0.895
972669,4.825
626400,1.89
1334144,0.005
1372918,3.765
901255,1.215
244819,8.695
688569,1.08
470064,4.94
165143,0.07
1186310,1.06
1404175,0.0
1263717,1.025
778177,0.02
277709,1.455
1326837,1.08
1205121,2.035
310325,0.0
1412963,0.0
281707,1.01
1128688,0.095
467333,0.05
985358,4.005
1413275,1.43
1005340,0.025
1142898,0.095
776232,1.145
1141122,1.89
847868,0.02
1411418,1.405
429108,1.12
1151004,0.0
677857,0.68
613844,1.07
1056751,7.275
882566,1.505
1235839,0.005
1210081,0.015
571479,0.82
1308127,20.635
1255431,1.76
451299,1.235
693054,0.735
1338848,1.845
1335620,1.22
705981,51.075
673207,1.44
179000,3.67
33835,1.13
1381413,1.135
684551,1.15
1384500,1.19
901393,0.82
1084086,1.36
289303,0.075
1001277,3.4
193281,1.47
163230,2.465
704856,1.37
787430,0.005
302077,1.14
1022808,0.025
418097,1.095
983848,0.755
50009,0.07
106860,0.05
380734,1.545
965347,0.73
760750,0.0
472610,1.37
889746,0.685
562822,1.485
551192,0.98
714973,0.0
612465,0.495
726185,0.05
590310,0.035
449210,0.08
163359,8.61
141047,0.0
985167,4.425
212361,2.025
318711,1.38
1286932,0.01
87627,0.0
912207,1.675
1076568,0.99
467476,3.295
321675,0.065
441877,0.04
1286119,1.135
819651,1.315
1086013,0.01
168459,2.84
1248735,1.11
1059170,1.08
546015,1.035
773425,0.69
1145610,0.04
854196,0.025
1063453,0.005
1102448,1.075
1137669,1.275
855138,1.26
397207,0.0
694654,0.04
1351277,1.215
1210057,0.54
953687,0.08
266853,2.265
1045239,1.79
188533,8.985
424735,6.49
249962,1.17
550460,0.015
1157334,1.04
27841,1.08
333036,0.68
375423,16.555
630008,0.88
887195,0.02
1157391,1.945
1027752,1.56
106010,68.14
341616,0.805
